course_number,course_name,credits,description,
ABS 200,Introduction to Applied Behavioral Science,3,"This course provides an introduction to and an overview of how applied behavioral science is used. Basic terms and definitions are reviewed, and students are introduced to the varied components of applied behavioral science. Topics covered include a definition of the field, sub- specialties, and real-world applications, in addition to other aspects of the field. Various applied behavioral science career opportunities will be explored.",
ABS 300,Psychological Assessment,3,"This course will survey instruments of psychometric assessment that are frequently used in education and clinical practice. Fundamental theory and research pertaining to the quantitative measurement of human traits will be reviewed. Psychometric instruments will include 288 standardized neuropsychological tests, intelligence tests, and personality tests. Strengths and limitations of these instruments will be carefully examined. Prerequisite:",
ABS 400,Counseling in Behavioral Sciences,3,"This course is designed for students interested in a wide-range of helping professions. Students compare and contrast behavior change theories and models, determine client needs, apply motivational strategies and counseling skills, and evaluate ethical issues associated with counseling interventions for common behavioral health concerns. The impact of client substance abuse on the intervention process is addressed. Concepts related to cultural competent service provision are also discussed. This course does not lead to certification or licensure. Prerequisite:",
PSY 303,ABS 415 Leadership & Ethics in a Changing World,3,"This course examines leadership and ethics from a broad perspective, and includes an overview of key leadership theories. Students explore leadership characteristics and values as applied to ethical decision- making, and challenges, as well as in regard to their own lives. Also included is an exploration of future leadership trends in a dynamic evolving world.",
ABS 417,Community Organizing & Development,3,"This course examines methods, techniques, and theories involved in working with people to solve problems in community-based settings.",
ABS 497,Applied Behavioral Sciences Capstone,3,This course provides the opportunity for the synthesis and application of content learned throughout the degree program. Students complete a project that demonstrates application of concepts presented throughout the degree coursework. Prerequisites: General Education Capstone course and completion of BAABS program core courses. ACC Accounting,
ACC 201,Principles of Financial Accounting,3,This course is an introduction to financial accounting for non-accounting business majors. Emphasis is on accrual accounting procedures and the development and use of financial statements.,
ACC 202,Principles of Managerial Accounting,3,"This course is an introduction to managerial accounting for non- accounting business majors. Emphasis is given on the internal accounting methods of business organizations for planning and control. Various topics include determining accounting systems for manufacturing operations, cost-volume profit analysis, differential analysis and produce pricing, budgeting and standard costs, decentralized operations, and capital investment analysis. (Equivalent to",
ACC 205,Principles of Accounting I,3,Introduction to the principles and procedures of general financial accounting with an emphasis on reporting to individuals outside the organization. Development of accounting reports on an accrual basis.,
ACC 206,Principles of Accounting II,3,"Primarily covers the principles of managerial accounting. Emphasis on reporting to individuals inside the organization. Major concepts include job order costing, process costing, budgets and standards, and statement analysis. Prerequisite:",
